순위,도서명,저자,출판사,정가,판매가
1,2026 이지패스 ADsP 데이터분석 준전문가,박현민 외,위키북스,30000,27000
2,SQL 자격검정 실전문제,한국데이터산업진흥원,한국데이터산업진흥원,18000,18000
3,2026 한 권으로 끝내는 시나공 컴활 2급 필기+실기,길벗알앤디,길벗,27000,24300
4,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인",차진우,골든래빗(주),28000,25200
5,챗GPT · 제미나이 · 클로드까지 모두를 위한 AI,지현이(디지털거북이),시프트,22000,19800
6,이지패스 2026 SQLD SQL 개발자,전용문 외,위키북스,26000,23400
7,2026 한 권으로 끝내는 시나공 컴활 1급 필기+실기,길벗알앤디,길벗,40000,36000
8,2026 이기적 SQLD SQL 개발자 기본서 이론+기출문제,강태우,영진닷컴,24000,21600
9,2026 ADsP 데이터분석 준전문가,윤종식,데이터에듀,31000,27900
10,2026 시나공 정보처리기사 필기 기본서,길벗알앤디,길벗,35000,31500
11,혼자 공부하는 바이브 코딩 with 클로드 코드,조태호,한빛미디어,30000,27000
12,2026 이기적 컴퓨터활용능력 2급 필기+실기 올인원,홍태성 외,영진닷컴,29000,26100
13,하네스 엔지니어링 with 클로드 코드,황민호,한빛미디어,30000,27000
14,일 잘하는 직장인의 AI 활용법,김덕중 외,디지털북스,22000,19800
15,2026 시나공 정보처리기사 필기 기출문제집,길벗알앤디,길벗,23000,20700
16,2026 이기적 빅데이터분석기사 필기 기본서,나홍석 외,영진닷컴,33000,29700
17,진짜 쓰는 실무 엑셀,오빠두(전진권),제이펍,21000,18900
18,뚝딱 바로 써먹는 AI 3대장: 챗GPT · 제미나이 · 클로드,코리아교육그룹,안경다리북스,22000,19800
19,2026 시나공 컴퓨터활용능력 1급 필기 기출문제집,길벗알앤디,길벗,17000,15300
20,2026 아이리포 SQL 개발자 SQLD 모든 것,조용학,아이리포,26000,23400
21,클로드 코드로 시작하는 실전 에이전틱 코딩,Goos Kim,더 타이즈,33000,29700
22,2026 알기사 정보보안기사(산업기사) 필기+핵심기출 1200제 세트,조현준,지안에듀,50000,45000
23,2026 이기적 컴퓨터활용능력 1급 필기+실기 올인원,홍태성 외,영진닷컴,40000,36000
24,2026 시나공 컴퓨터활용능력 2급 필기 기출문제집,길벗알앤디,길벗,13000,11700
25,이게 되네? 제미나이 완전 미친 활용법 81제,오힘찬,골든래빗(주),24000,21600
26,피지컬 AI 시스템 설계,엥지유니버스,한빛미디어,30000,27000
27,2026 에듀윌 SQLD SQL 개발자 2주끝장+무료특강,김남규,에듀윌,24000,21600
28,한눈에 보는 AI 반도체 산업,MrTrigger,한빛미디어,26000,23400
29,클로드 코드 마스터,이남희 외,한빛미디어,36000,32400
30,Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,22000,19800
31,2026 수제비 정보처리기사 필기 기본서 세트,윤영빈 외,수제비출판사,36000,32400
32,2027 이기적 AI-POT AI 프롬프트활용능력 1급 기본서,김영진,영진닷컴,30000,27000
33,2027 이기적 사무자동화산업기사 필기+실기 올인원,신면철 외,영진닷컴,34000,30600
34,2026 시나공 컴퓨터활용능력 2급 필기 기본서,길벗알앤디,길벗,22000,19800
35,2027 한 권으로 끝내는 시나공 SQLD,서동재,길벗,26000,23400
36,"클로드 올인원 with 코워크, 코드, 디자인",클리커 외,한빛미디어,32000,28800
37,혼자 공부하는 파이썬,윤인성,한빛미디어,22000,19800
38,다빈치리졸브 색보정,전수연,디지털북스,22000,19800
39,"AI 시대의 질문력, 프롬프트 엔지니어링",류한석,코리아닷컴,27000,24300
40,돈이 되네? 주문과 매출이 동시에 터지는 스마트스토어+쿠팡,김경은(단아쌤),골든래빗(주),25800,23220
41,"조코딩의 바이브 코딩 1인 창업 with 클로드 코드, 수파베이스, 스트라이프",조동근,한빛미디어,30000,27000
42,된다! 캡컷 영상 편집,지민이,이지스퍼블리싱,22000,19800
43,2026 이기적 컴퓨터활용능력 2급 실기 기본서,박윤정,영진닷컴,23000,20700
44,"2027 빠르게 따는 빅데이터분석기사 필기: 1권(이론)+2권(빈출 족보+기출+모의고사+빈출XO), CBT, Live 마무리 특강",이유성 외,골든래빗(주),33000,29700
45,"클로드 코워크 with 스킬, 플러그인",클리커 외,한빛미디어,26000,23400
46,2026 이기적 컴퓨터활용능력 2급 필기 기본서,홍태성 외,영진닷컴,21000,18900
47,대치동 엄마들도 모르는 AI 활용법 2,이종구 외,디지털콘텐츠그룹,27000,24300
48,대치동 엄마들도 모르는 AI 활용법 1,이종구 외,디지털콘텐츠그룹,22000,19800
49,돈이 되네? 취미 그림이 전 세계로 팔리는 스톡 이미지,스튜디오 홍차(최예슬),골든래빗(주),25800,23220
50,2026 시나공 컴퓨터활용능력 1급 필기 기본서,길벗알앤디,길벗,32000,28800
51,린 스타트업,에릭 리스 외,인사이트,18000,16200
52,"유튜브에서 음원 발매까지 AI 플레이리스트 with 수노, 제미나이, 리퍼, 캔바, 캡컷, 스포티파이",문태영,한빛미디어,29000,26100
53,프로덕트 디자이너로 살아남기,강영화,이오스튜디오,19000,17100
54,세컨드 브레인은 옵시디언 with 클로드 코드,시안,골든래빗(주),25000,22500
55,2026 원큐패스 개인정보관리사 CPPG,김창중,다락원,38000,34200
56,2026 해커스 전산세무 2급 한권합격 이론+실무+최신기출 12회분+무료특강,이남호,해커스금융,32000,28800
