순위,상품번호,구분,도서명,저자,출판사,출간일,할인율,판매가,정가,포인트,판매지수,평점,배송정보,출간연도,출간월,평점_수치,종이책_리뷰_수,eBook_리뷰_수,종이책_한줄평_수,eBook_한줄평_수,총_리뷰_수
1,192124118,도서,니체와 함께 지적 대화를,양원근 저,리미트리스,2026년 06월,10,16920,18800.0,940,24480,,,2026,6,,0.0,0.0,0.0,0.0,0.0
2,189118620,도서,만화로 보는 5분 한국사,유요 글/미정 그림/신병주 감수,빅피시,2026년 06월,10,16920,18800.0,940,65904,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (4건) eBook 리뷰 (0건) 종이책 한줄평 (14건) eBook 한줄평 (0건),,2026,6,9.9,4.0,0.0,14.0,0.0,18.0
3,192496676,도서,매스커레이드 라이프,히가시노 게이고 저/김은모 역,현대문학,2026년 07월,10,18000,20000.0,1000,12420,,,2026,7,,0.0,0.0,0.0,0.0,0.0
4,183809488,도서,내면 근력,짐 머피 저/지여울 역,윌북(willbook),2026년 04월,10,19800,22000.0,1100,222543,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (43건) eBook 리뷰 (4건) 종이책 한줄평 (35건) eBook 한줄평 (18건),,2026,4,9.6,43.0,4.0,35.0,18.0,100.0
5,167466420,도서,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성 저,이투스북,2025년 12월,10,17100,19000.0,950,454395,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (47건) eBook 리뷰 (0건) 종이책 한줄평 (57건) eBook 한줄평 (0건),,2025,12,9.8,47.0,0.0,57.0,0.0,104.0
6,192498321,도서,추추의 집밥 클래스,추재현 저,용감한까치,2026년 06월,10,19980,22200.0,1110,12660,,,2026,6,,0.0,0.0,0.0,0.0,0.0
7,191191423,도서,작고 소중한 내 돈도 불리고 싶어 주식을 시작합니다,손희애 저,크레딧,2026년 06월,10,19800,22000.0,1100,6648,,,2026,6,,0.0,0.0,0.0,0.0,0.0
8,190357981,도서,책 먹는 여우 25주년 특별 기념판,프란치스카 비어만 글그림/김경연 역,주니어김영사,2026년 06월,10,11700,13000.0,650,6159,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (5건) eBook 리뷰 (0건) 종이책 한줄평 (0건) eBook 한줄평 (0건),,2026,6,10.0,5.0,0.0,0.0,0.0,5.0
9,167466432,도서,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성 저,이투스북,2025년 12월,10,16650,18500.0,920,411672,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (35건) eBook 리뷰 (0건) 종이책 한줄평 (37건) eBook 한줄평 (0건),,2025,12,9.9,35.0,0.0,37.0,0.0,72.0
10,190811719,도서,부의 갈림길,오건영 저,포레스트북스,2026년 06월,10,24300,27000.0,1350,109692,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (27건) eBook 리뷰 (0건) 종이책 한줄평 (9건) eBook 한줄평 (0건),,2026,6,9.9,27.0,0.0,9.0,0.0,36.0
11,189116661,도서,품격 있는 대화를 위한 지식 브리핑,김진 저,북플레저,2026년 04월,10,22500,25000.0,1250,251994,리뷰 총점8.0 정보 더 보기/감추기 종이책 리뷰 (18건) eBook 리뷰 (0건) 종이책 한줄평 (43건) eBook 한줄평 (0건),,2026,4,8.0,18.0,0.0,43.0,0.0,61.0
12,190813759,도서,나의 첫 번째 부동산 교과서,송희구 저,서삼독,2026년 06월,10,20700,23000.0,1150,176178,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (7건) eBook 리뷰 (0건) 종이책 한줄평 (13건) eBook 한줄평 (0건),,2026,6,9.4,7.0,0.0,13.0,0.0,20.0
13,101375755,도서,프로젝트 헤일메리,앤디 위어 저/강동혁 역,알에이치코리아(RHK),2026년 02월,10,19800,22000.0,1100,549915,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (321건) eBook 리뷰 (86건) 종이책 한줄평 (470건) eBook 한줄평 (394건),,2026,2,9.7,321.0,86.0,470.0,394.0,1271.0
14,168776448,도서,ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,ETS 저,YBM(와이비엠),2025년 12월,10,19800,22000.0,1100,280833,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (47건) eBook 리뷰 (0건) 종이책 한줄평 (62건) eBook 한줄평 (0건),,2025,12,9.8,47.0,0.0,62.0,0.0,109.0
15,2312211,도서,코스모스,칼 에드워드 세이건 저/홍승수 역,사이언스북스,2006년 12월,10,19800,22000.0,1100,273360,"리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (633건) eBook 리뷰 (88건) 종이책 한줄평 (1,336건) eBook 한줄평 (220건)",,2006,12,9.6,633.0,88.0,1336.0,220.0,2277.0
16,161401496,도서,니체의 초월자,프리드리히 니체 저/김철 편역,히읏,2025년 10월,10,15210,16900.0,840,286203,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (43건) eBook 리뷰 (0건) 종이책 한줄평 (39건) eBook 한줄평 (13건),,2025,10,9.7,43.0,0.0,39.0,13.0,95.0
17,168776455,도서,ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,ETS 저,YBM(와이비엠),2025년 12월,10,19800,22000.0,1100,263298,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (44건) eBook 리뷰 (0건) 종이책 한줄평 (64건) eBook 한줄평 (0건),,2025,12,9.9,44.0,0.0,64.0,0.0,108.0
18,191888833,도서,멜로우 TV 수학 퍼즐 매직 팡 1 (멜로우TV 친필 사인본),멜로우 TV 원저/김언정 글/김덕영 그림/박종일 감수/정경훈 기획,주니어김영사,2026년 06월,10,15120,16800.0,840,6390,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (0건) eBook 리뷰 (0건) 종이책 한줄평 (9건) eBook 한줄평 (0건),,2026,6,9.8,0.0,0.0,9.0,0.0,9.0
19,147560984,도서,안녕이라 그랬어 (집 에디션),김애란 저,문학동네,2025년 06월,10,15120,16800.0,840,519399,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (225건) eBook 리뷰 (17건) 종이책 한줄평 (269건) eBook 한줄평 (34건),,2025,6,9.6,225.0,17.0,269.0,34.0,545.0
20,191607128,도서,불안의 책,페르난두 페소아 저/오진영 역,문학동네,2026년 07월,10,16200,18000.0,900,6330,,,2026,7,,0.0,0.0,0.0,0.0,0.0
21,186676818,도서,사춘기 엄마의 오장육부,나민애 저,서교책방,2026년 04월,10,16020,17800.0,890,209514,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (78건) eBook 리뷰 (0건) 종이책 한줄평 (25건) eBook 한줄평 (0건),,2026,4,9.9,78.0,0.0,25.0,0.0,103.0
22,192274286,도서,신 퇴마록 신세편 1,이우혁 저,반타,2026년 06월,10,19800,22000.0,1100,48420,리뷰 총점8.4 정보 더 보기/감추기 종이책 리뷰 (3건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (1건),,2026,6,8.4,3.0,0.0,1.0,1.0,5.0
23,168393009,도서,"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성 저,이투스북,2025년 12월,10,19800,22000.0,1100,301575,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (46건) eBook 리뷰 (0건) 종이책 한줄평 (50건) eBook 한줄평 (0건),,2025,12,9.9,46.0,0.0,50.0,0.0,96.0
24,257435,도서,싯다르타,헤르만 헤세 저/박병덕 역,민음사,2002년 01월,10,7200,8000.0,400,265089,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (308건) eBook 리뷰 (32건) 종이책 한줄평 (346건) eBook 한줄평 (84건),,2002,1,9.5,308.0,32.0,346.0,84.0,770.0
25,190399063,도서,다시 만난 세계,김희교 저,푸른숲,2026년 06월,10,18900,21000.0,1050,48954,리뷰 총점6.3 정보 더 보기/감추기 종이책 리뷰 (2건) eBook 리뷰 (0건) 종이책 한줄평 (6건) eBook 한줄평 (0건),,2026,6,6.3,2.0,0.0,6.0,0.0,8.0
26,192161899,도서,멋진 신세계 대본집 세트 (북케이스 에디션 세트),강현주 저,김영사,2026년 08월,10,54000,60000.0,3000,51510,,,2026,8,,0.0,0.0,0.0,0.0,0.0
27,192274297,도서,신 퇴마록 신세편 2,이우혁 저,반타,2026년 06월,10,19800,22000.0,1100,43140,리뷰 총점4.0 정보 더 보기/감추기 종이책 리뷰 (0건) eBook 리뷰 (0건) 종이책 한줄평 (0건) eBook 한줄평 (1건),,2026,6,4.0,0.0,0.0,0.0,1.0,1.0
28,192028900,도서,인비인,성해나 저,한겨레출판,2026년 06월,10,16200,18000.0,900,31953,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (39건) eBook 리뷰 (0건) 종이책 한줄평 (2건) eBook 한줄평 (0건),,2026,6,10.0,39.0,0.0,2.0,0.0,41.0
29,192274404,도서,신 퇴마록 신세편 3,이우혁 저,반타,2026년 06월,10,19800,22000.0,1100,42780,리뷰 총점6.0 정보 더 보기/감추기 종이책 리뷰 (0건) eBook 리뷰 (0건) 종이책 한줄평 (0건) eBook 한줄평 (1건),,2026,6,6.0,0.0,0.0,0.0,1.0,1.0
30,192555379,도서,독서의 기술,고명환 저,라곰,2026년 07월,10,17820,19800.0,990,4920,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (8건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,7,10.0,8.0,0.0,1.0,0.0,9.0
31,67362730,도서,해커스 토익 기출 VOCA (보카),David Cho 저,해커스어학연구소,2024년 08월,10,11610,12900.0,640,296004,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (420건) eBook 리뷰 (0건) 종이책 한줄평 (809건) eBook 한줄평 (0건),,2024,8,9.6,420.0,0.0,809.0,0.0,1229.0
32,192110011,만화,원피스 ONE PIECE 114,오다 에이이치로 글그림,대원,2026년 06월,10,5850,6500.0,320,64008,,,2026,6,,0.0,0.0,0.0,0.0,0.0
33,101875887,도서,라오어의 미국주식 무한매수법,라오어 저,알키,2021년 06월,10,14400,16000.0,800,90726,리뷰 총점9.0 정보 더 보기/감추기 종이책 리뷰 (60건) eBook 리뷰 (7건) 종이책 한줄평 (85건) eBook 한줄평 (54건),,2021,6,9.0,60.0,7.0,85.0,54.0,206.0
34,192274401,도서,집밥력,홀썸모먼트 저,세미콜론,2026년 06월,10,29250,32500.0,1620,15540,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (1건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,6,10.0,1.0,0.0,1.0,0.0,2.0
35,192491384,만화,원펀맨 ONE PUNCH MAN 35,ONE 원저/무라타 유스케 그림,대원,2026년 06월,10,5400,6000.0,300,13980,,,2026,6,,0.0,0.0,0.0,0.0,0.0
36,148032819,도서,박곰희 연금 부자 수업,박곰희 저,인플루엔셜,2025년 06월,10,18900,21000.0,1050,611865,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (208건) eBook 리뷰 (12건) 종이책 한줄평 (236건) eBook 한줄평 (20건),,2025,6,9.7,208.0,12.0,236.0,20.0,476.0
37,188859332,도서,말하지 않고 말하기,김정운 저,21세기북스,2026년 05월,10,21600,24000.0,1200,119745,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (42건) eBook 리뷰 (0건) 종이책 한줄평 (36건) eBook 한줄평 (0건),,2026,5,9.7,42.0,0.0,36.0,0.0,78.0
38,190998248,도서,말은 운명을 데려온다,이하영 저,토네이도,2026년 06월,10,17820,19800.0,990,32259,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (18건) eBook 리뷰 (0건) 종이책 한줄평 (2건) eBook 한줄평 (1건),,2026,6,9.9,18.0,0.0,2.0,1.0,21.0
39,191018389,도서,이병한의 대한민국 탐문,이병한 저,서해문집,2026년 06월,10,16650,18500.0,920,91512,리뷰 총점8.7 정보 더 보기/감추기 종이책 리뷰 (1건) eBook 리뷰 (0건) 종이책 한줄평 (17건) eBook 한줄평 (0건),,2026,6,8.7,1.0,0.0,17.0,0.0,18.0
40,124999476,도서,불변의 법칙,모건 하우절 저/이수경 역,서삼독,2024년 02월,10,22500,25000.0,1250,88332,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (256건) eBook 리뷰 (21건) 종이책 한줄평 (429건) eBook 한줄평 (73건),,2024,2,9.5,256.0,21.0,429.0,73.0,779.0
41,8759796,도서,모순,양귀자 저,쓰다,2013년 04월,10,11700,13000.0,650,449769,"리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (870건) eBook 리뷰 (0건) 종이책 한줄평 (1,200건) eBook 한줄평 (0건)",,2013,4,9.6,870.0,0.0,1200.0,0.0,2070.0
42,182009922,도서,이향인,라미 카민스키 저/최지숙 역,21세기북스,2026년 03월,10,15210,16900.0,840,100338,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (40건) eBook 리뷰 (1건) 종이책 한줄평 (28건) eBook 한줄평 (2건),,2026,3,9.7,40.0,1.0,28.0,2.0,71.0
43,191550933,도서,시간의 감촉,은희경 저,문학동네,2026년 06월,10,16920,18800.0,940,21918,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (1건) eBook 리뷰 (0건) 종이책 한줄평 (0건) eBook 한줄평 (0건),,2026,6,10.0,1.0,0.0,0.0,0.0,1.0
44,191838559,도서,아코디언,천명관 저,창비,2026년 06월,10,16200,18000.0,900,43317,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (35건) eBook 리뷰 (0건) 종이책 한줄평 (7건) eBook 한줄평 (0건),,2026,6,9.8,35.0,0.0,7.0,0.0,42.0
45,112323962,도서,라오어의 미국주식 밸류 리밸런싱,라오어 저,알키,2022년 08월,10,16200,18000.0,900,72663,리뷰 총점8.6 정보 더 보기/감추기 종이책 리뷰 (36건) eBook 리뷰 (2건) 종이책 한줄평 (91건) eBook 한줄평 (11건),,2022,8,8.6,36.0,2.0,91.0,11.0,140.0
46,192468304,만화,향기로운 꽃은 늠름하게 핀다 21 특별판,미카미 사카 글그림,대원,2026년 06월,10,33300,37000.0,1850,33570,,,2026,6,,0.0,0.0,0.0,0.0,0.0
47,189245464,도서,최소한의 세계사,이다지 저,프런트페이지,2026년 05월,10,20700,23000.0,1150,100263,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (23건) eBook 리뷰 (0건) 종이책 한줄평 (20건) eBook 한줄평 (0건),,2026,5,9.9,23.0,0.0,20.0,0.0,43.0
48,65067259,도서,이기적 유전자 The Selfish Gene,"리처드 도킨스 저/홍영남, 이상임 역",을유문화사,2018년 10월,10,18000,20000.0,1000,154770,리뷰 총점9.2 정보 더 보기/감추기 종이책 리뷰 (254건) eBook 리뷰 (33건) 종이책 한줄평 (565건) eBook 한줄평 (71건),,2018,10,9.2,254.0,33.0,565.0,71.0,923.0
49,177244852,도서,누구의 잘못일까? 1,곽영미 글/윤소진 그림,미래엔아이세움,2026년 02월,10,12600,14000.0,700,8844,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (46건) eBook 리뷰 (0건) 종이책 한줄평 (0건) eBook 한줄평 (0건),,2026,2,10.0,46.0,0.0,0.0,0.0,46.0
50,167744276,도서,이지패스 2026 ADsP 데이터분석 준전문가,"박현민, 전용문 저",위키북스,2026년 01월,10,27000,30000.0,1500,110460,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (139건) eBook 리뷰 (14건) 종이책 한줄평 (44건) eBook 한줄평 (1건),,2026,1,9.9,139.0,14.0,44.0,1.0,198.0
51,192557877,도서,오늘도 일하고 사랑하고 성장합니다,김경선 저,비전코리아,2026년 07월,10,14850,16500.0,820,9930,,,2026,7,,0.0,0.0,0.0,0.0,0.0
52,148193221,도서,ETS 토익 단기공략 750+ (LC+RC),ETS 저,YBM(와이비엠),2025년 07월,10,17550,19500.0,970,151587,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (31건) eBook 리뷰 (0건) 종이책 한줄평 (34건) eBook 한줄평 (0건),,2025,7,9.8,31.0,0.0,34.0,0.0,65.0
53,142972546,도서,위버멘쉬,프리드리히 니체 저,떠오름,2025년 03월,10,16020,17800.0,890,418767,리뷰 총점9.1 정보 더 보기/감추기 종이책 리뷰 (290건) eBook 리뷰 (4건) 종이책 한줄평 (274건) eBook 한줄평 (59건),,2025,3,9.1,290.0,4.0,274.0,59.0,627.0
